transaction_id,account_number,amount,transaction_type,transaction_date
71,1438,-62.12,Withdrawal,2025-05-06T14:21:31
72,1192,8277.49,Deposit,2024-03-05T01:05:23
73,1053,6125.2,Deposit,2022-07-22T23:20:26
74,1127,-9086.98,Withdrawal,2024-05-25T17:46:17
75,1116,-9382.45,Withdrawal,2023-04-02T08:39:01
76,1232,-1260.94,Withdrawal,2025-04-05T08:15:27
77,1444,1183.36,Deposit,2024-06-24T11:44:43
78,1382,9152.2,Deposit,2024-02-27T06:25:28
79,1165,4417.65,Transfer,2025-01-17T20:51:18
80,1048,4298.08,Transfer,2025-02-10T02:00:21
81,1185,-1904.86,Withdrawal,2024-12-18T16:33:15
82,1068,5856.49,Transfer,2022-10-30T21:31:16
83,1463,3074.66,Transfer,2025-04-03T00:08:44
84,1115,-153.72,Withdrawal,2024-07-20T09:05:10
85,1087,5206.69,Deposit,2023-01-02T07:43:19
86,1142,7657.15,Transfer,2022-12-08T06:16:48
87,1073,-5841.96,Withdrawal,2023-12-17T23:01:02
88,1236,-1775.74,Withdrawal,2025-03-12T06:54:05
89,1070,-1276.93,Withdrawal,2024-10-05T00:40:33
90,1068,-10961.49,Withdrawal,2024-12-10T17:27:40
91,1353,-15199.7,Withdrawal,2021-12-19T19:29:22
92,1317,4786.78,Transfer,2024-10-14T10:38:13
93,1481,2394.26,Deposit,2021-04-01T21:59:34
94,1351,-143.44,Withdrawal,2023-01-19T19:42:57
95,1177,1328.57,Deposit,2025-02-24T19:25:56
96,1316,-13117.98,Withdrawal,2025-02-12T13:29:11
97,1350,-8621.16,Withdrawal,2024-11-05T14:24:57
98,1433,-1067.31,Withdrawal,2025-04-06T07:14:47
99,1126,-15033.17,Withdrawal,2024-07-23T07:12:04
100,1444,5129.66,Deposit,2022-12-01T17:39:04
101,1341,6343.56,Transfer,2025-03-22T05:18:40
102,1051,3521.12,Deposit,2023-03-15T19:36:25
103,1097,-2493.05,Withdrawal,2025-05-06T00:29:25
104,1470,8184.42,Transfer,2024-11-08T19:39:29
105,1033,6112.92,Transfer,2024-06-20T15:54:41
106,1154,9798.56,Deposit,2025-02-26T15:55:39
107,1156,-17489.68,Withdrawal,2023-03-31T22:22:35
108,1009,3712.86,Deposit,2024-03-09T07:32:47
109,1115,-8093.22,Withdrawal,2025-04-09T14:05:15
110,1015,8062.65,Transfer,2023-10-11T04:45:10
111,1318,-347.65,Withdrawal,2024-12-17T07:59:16
112,1101,-2346.0,Withdrawal,2024-05-29T18:12:30
113,1371,727.5,Transfer,2025-01-19T00:45:52
114,1107,8327.23,Deposit,2025-04-30T08:45:33
115,1355,2076.79,Deposit,2023-05-22T13:40:38
116,1130,7359.3,Deposit,2023-09-10T22:54:50
117,1332,-5094.44,Withdrawal,2024-06-03T09:54:30
118,1176,-5650.31,Withdrawal,2023-12-21T23:01:29
119,1242,6300.88,Deposit,2023-06-28T17:30:56
120,1112,-4331.36,Withdrawal,2025-04-30T05:46:32
121,1290,-353.33,Withdrawal,2024-12-04T03:40:27
122,1021,1751.78,Transfer,2023-10-27T23:34:39
123,1185,-6643.01,Withdrawal,2024-10-20T08:19:02
124,1185,-5724.98,Withdrawal,2022-11-21T20:29:13
125,1057,2437.62,Deposit,2023-12-11T08:20:12
126,1427,384.91,Transfer,2025-03-15T14:52:51
127,1356,406.04,Transfer,2023-11-03T14:54:25
128,1162,-328.65,Withdrawal,2022-12-19T18:39:06
129,1308,-15630.3,Withdrawal,2025-02-23T11:07:15
130,1069,-40008.29,Withdrawal,2025-02-19T00:48:08
131,1393,7821.58,Deposit,2024-12-23T02:30:10
132,1428,-14876.3,Withdrawal,2023-02-09T12:20:19
133,1384,-3331.41,Withdrawal,2023-12-21T01:19:14
134,1104,5860.6,Transfer,2022-10-23T05:55:39
135,1087,3328.23,Transfer,2024-05-31T09:45:54
136,1024,8885.16,Deposit,2023-01-12T02:31:13
137,1388,5997.87,Deposit,2025-04-07T15:51:39
138,1349,5239.89,Transfer,2024-10-06T13:48:10
139,1242,-11178.86,Withdrawal,2022-07-12T01:12:17
140,1058,6969.07,Deposit,2024-12-31T09:34:10
141,1051,2318.6,Transfer,2024-08-11T13:55:48
142,1300,1758.73,Deposit,2024-12-13T05:17:26
143,1316,-511.14,Withdrawal,2023-11-06T20:20:12
144,1227,-255.01,Withdrawal,2022-10-08T04:24:08
145,1083,-1668.38,Withdrawal,2023-10-28T21:37:00
146,1176,434.55,Deposit,2023-11-08T06:20:13
147,1037,-2098.03,Withdrawal,2025-03-14T00:27:57
148,1172,-3875.39,Withdrawal,2025-04-21T10:19:21
149,1039,-15062.04,Withdrawal,2024-05-25T07:07:16
150,1091,-2044.53,Withdrawal,2025-04-02T18:06:28
151,1488,6462.42,Deposit,2024-11-11T13:22:24
152,1156,1677.87,Deposit,2024-07-26T07:51:26
153,1426,2026.49,Deposit,2025-03-07T19:51:51
154,1122,7743.35,Deposit,2024-08-14T20:28:41
155,1019,-102.65,Withdrawal,2025-03-23T19:52:49
156,1331,2085.47,Transfer,2024-04-09T06:37:15
157,1179,1304.91,Deposit,2021-09-01T06:49:32
158,1418,3404.34,Deposit,2024-06-11T02:14:04
159,1414,-8940.27,Withdrawal,2023-03-23T21:06:17
160,1500,2723.67,Transfer,2023-11-01T23:16:40
161,1113,9698.5,Deposit,2024-11-04T00:56:42
162,1210,-8409.44,Withdrawal,2024-09-28T03:17:55
163,1068,-22138.63,Withdrawal,2025-03-21T15:00:49
164,1301,6483.93,Transfer,2024-07-27T05:48:39
165,1300,-207.18,Withdrawal,2025-01-01T18:12:30
166,1122,-3620.9,Withdrawal,2024-04-15T18:29:51
167,1096,8913.24,Deposit,2023-03-07T00:28:30
168,1077,-2538.31,Withdrawal,2022-12-17T21:22:03
169,1105,-10502.17,Withdrawal,2023-05-14T18:44:50
170,1078,-1956.11,Withdrawal,2024-04-23T16:31:55
171,1042,3786.86,Deposit,2022-10-08T01:53:58
172,1225,7652.48,Deposit,2024-01-12T11:13:59
173,1409,6121.96,Deposit,2024-05-14T03:58:04
174,1211,7599.49,Deposit,2025-03-13T12:36:28
175,1490,-22708.78,Withdrawal,2025-02-07T04:07:11
176,1143,-4300.81,Withdrawal,2024-05-02T04:24:28
177,1244,8480.07,Deposit,2023-07-27T06:48:35
178,1440,-5755.76,Withdrawal,2025-02-18T17:08:00
179,1191,311.82,Deposit,2021-12-08T13:55:44
180,1255,-32470.96,Withdrawal,2025-04-12T20:26:10
181,1165,1962.15,Deposit,2024-12-01T04:25:09
182,1215,-11100.61,Withdrawal,2022-03-14T22:59:16
183,1114,8383.02,Deposit,2024-06-17T10:20:51
184,1444,38.85,Transfer,2023-03-26T19:08:47
185,1338,-5149.17,Withdrawal,2025-03-02T23:09:24
186,1058,6951.6,Deposit,2024-11-29T05:35:28
187,1217,-13398.12,Withdrawal,2024-08-31T21:38:05
188,1233,9248.52,Deposit,2022-01-05T04:14:13
189,1121,2096.55,Transfer,2023-01-22T06:02:48
190,1124,-2446.3,Withdrawal,2024-10-02T00:32:08
191,1137,6513.51,Deposit,2024-01-16T08:34:23
192,1039,4990.53,Deposit,2023-03-07T21:29:25
193,1216,-13899.52,Withdrawal,2024-08-05T01:31:32
194,1122,-10086.84,Withdrawal,2024-11-22T05:37:40
195,1289,9279.33,Transfer,2025-02-09T20:12:41
196,1036,-344.06,Withdrawal,2023-02-18T10:43:37
197,1104,5472.04,Deposit,2022-06-15T17:35:55
198,1445,6947.64,Deposit,2023-01-30T12:39:28
199,1198,57.16,Deposit,2024-05-31T08:48:18
200,1214,5379.28,Transfer,2024-05-13T08:48:05
201,1469,-1330.77,Withdrawal,2023-12-08T06:34:57
202,1061,-18306.87,Withdrawal,2025-01-29T07:36:17
203,1031,205.46,Deposit,2021-03-27T09:22:17
204,1440,-964.08,Withdrawal,2025-02-22T17:59:27
205,1470,6991.03,Deposit,2023-04-09T00:34:38
206,1356,2760.84,Deposit,2024-08-14T14:41:45
207,1076,-1983.35,Withdrawal,2024-12-21T15:49:41
208,1098,1941.64,Deposit,2024-03-14T12:27:23
209,1347,8710.36,Deposit,2024-07-15T21:30:03
210,1264,-11717.9,Withdrawal,2025-02-24T02:16:16
211,1213,5241.15,Deposit,2023-02-08T03:42:01
212,1196,7151.88,Deposit,2025-05-06T21:33:16
213,1413,8227.57,Deposit,2023-01-08T16:52:07
214,1213,6392.67,Deposit,2023-12-16T00:13:37
215,1109,9411.3,Deposit,2024-11-26T17:29:12
216,1090,5372.36,Transfer,2024-11-04T11:11:34
217,1271,776.92,Deposit,2025-04-10T12:27:47
218,1406,9448.0,Deposit,2023-11-24T11:37:38
219,1320,-1949.9,Withdrawal,2025-02-22T07:19:28
220,1283,4764.73,Deposit,2024-11-25T07:08:47
221,1208,-2.7,Withdrawal,2022-10-31T22:04:13
222,1106,6311.27,Deposit,2024-11-15T23:41:27
223,1341,-5799.82,Withdrawal,2025-02-03T11:18:30
224,1307,6059.06,Transfer,2024-05-22T20:59:13
225,1156,-7465.72,Withdrawal,2024-07-29T06:20:58
226,1067,614.26,Transfer,2021-10-14T00:24:35
227,1173,9802.94,Transfer,2022-09-03T03:53:09
228,1408,-21634.6,Withdrawal,2025-01-11T16:54:48
229,1407,-6727.55,Withdrawal,2025-03-22T15:40:46
230,1141,-1309.68,Withdrawal,2022-02-15T17:42:49
231,1183,132.68,Transfer,2021-06-16T23:33:49
232,1168,4943.44,Deposit,2025-05-01T12:27:57
233,1081,-6659.16,Withdrawal,2024-11-30T06:02:03
234,1423,-2748.22,Withdrawal,2022-11-06T15:47:32
235,1389,2571.6,Deposit,2024-02-24T10:35:34
236,1252,4341.44,Deposit,2024-06-04T04:29:52
237,1297,1349.81,Deposit,2025-01-27T15:43:09
238,1212,-7991.43,Withdrawal,2024-09-19T10:13:28
239,1453,-8416.4,Withdrawal,2020-09-28T16:19:31
240,1318,-2849.29,Withdrawal,2024-07-03T13:49:37
241,1075,6578.76,Deposit,2023-07-06T10:41:54
242,1122,4468.36,Deposit,2024-02-08T06:19:55
243,1311,4785.73,Transfer,2023-08-23T07:03:51
244,1054,-13747.14,Withdrawal,2025-02-02T23:11:28
245,1394,4381.73,Deposit,2025-04-10T05:23:53
246,1198,3874.77,Deposit,2025-04-28T03:56:35
247,1345,461.19,Deposit,2025-03-08T04:02:35
248,1437,-30106.0,Withdrawal,2023-03-12T22:42:39
249,1043,7512.85,Deposit,2025-02-20T01:43:09
250,1352,-5515.3,Withdrawal,2022-02-09T22:52:04
251,1120,2998.35,Transfer,2024-06-13T07:26:39
252,1458,4910.61,Deposit,2023-02-14T21:20:32
253,1012,-8528.62,Withdrawal,2025-03-26T20:56:27
254,1236,3205.11,Deposit,2023-12-13T17:07:57
255,1491,6175.74,Deposit,2022-09-28T12:31:51
256,1328,7389.77,Deposit,2022-05-10T18:37:36
257,1344,2549.75,Deposit,2024-12-27T09:09:45
258,1089,5890.56,Deposit,2022-10-29T11:09:33
259,1258,-12856.88,Withdrawal,2023-11-13T18:24:33
260,1381,1321.84,Deposit,2022-10-21T00:52:33
261,1174,1271.77,Deposit,2025-04-13T21:37:46
262,1369,-10018.89,Withdrawal,2023-05-08T15:26:58
263,1268,5847.02,Deposit,2024-09-01T23:36:16
264,1104,4189.65,Deposit,2024-09-16T08:29:13
265,1216,-486.98,Withdrawal,2022-08-17T15:35:40
266,1131,3033.63,Deposit,2023-10-01T17:10:23
267,1220,1333.39,Deposit,2024-10-20T07:02:18
268,1428,9108.14,Deposit,2024-06-04T01:35:12
269,1103,-12033.77,Withdrawal,2022-09-01T01:53:39
270,1324,6842.14,Deposit,2022-05-08T18:13:04
271,1081,4109.23,Transfer,2023-10-23T23:18:23
272,1189,4061.3,Deposit,2024-08-22T02:21:00
273,1112,7591.58,Transfer,2025-05-04T06:58:10
274,1116,-4493.27,Withdrawal,2021-09-30T00:31:42
275,1100,-16838.61,Withdrawal,2022-02-13T00:49:59
276,1444,-8118.23,Withdrawal,2023-05-11T10:39:19
277,1061,4130.04,Deposit,2023-10-01T07:11:33
278,1247,-4856.12,Withdrawal,2024-11-29T23:49:44
279,1045,1545.58,Transfer,2025-05-03T09:18:17
280,1040,9698.27,Deposit,2021-10-25T05:30:31
281,1095,6045.16,Deposit,2025-05-08T21:49:42
282,1211,4651.22,Deposit,2024-11-16T07:32:02
283,1034,3271.27,Deposit,2024-03-14T08:48:01
284,1249,8835.74,Deposit,2023-06-23T03:34:26
285,1052,605.95,Deposit,2023-11-03T02:40:42
286,1472,-9521.31,Withdrawal,2023-03-14T16:51:39
287,1028,4561.32,Deposit,2025-02-22T09:32:11
288,1201,3044.51,Deposit,2025-05-05T10:23:44
289,1310,-14080.89,Withdrawal,2023-12-27T21:56:40
290,1066,4098.7,Deposit,2024-01-07T14:33:54
291,1307,-23961.31,Withdrawal,2022-08-31T06:49:48
292,1488,9876.86,Deposit,2024-11-12T02:10:51
293,1392,8964.19,Deposit,2023-11-26T02:46:10
294,1174,-23714.44,Withdrawal,2023-03-10T18:47:00
295,1487,-4553.26,Withdrawal,2022-10-31T21:06:28
296,1190,1065.16,Transfer,2024-08-21T08:23:40
297,1274,-2993.1,Withdrawal,2023-11-30T15:29:46
298,1153,3847.07,Deposit,2025-02-15T03:59:05
299,1011,7036.28,Deposit,2024-07-16T05:47:54
300,1079,-1282.47,Withdrawal,2023-03-28T03:14:09
301,1319,3283.93,Deposit,2024-03-04T21:10:33
302,1238,-9980.53,Withdrawal,2024-12-03T07:32:15
303,1303,-6106.59,Withdrawal,2022-10-16T05:33:56
304,1471,-476.26,Withdrawal,2025-01-28T09:01:18
305,1182,-14361.48,Withdrawal,2023-09-04T01:43:56
306,1205,9392.31,Deposit,2025-03-17T14:30:53
307,1454,277.91,Transfer,2024-10-25T14:09:55
308,1295,873.53,Transfer,2025-02-07T22:54:30
309,1403,5755.87,Deposit,2025-02-01T13:32:47
310,1479,9649.54,Transfer,2025-01-21T00:25:31
311,1354,-2990.13,Withdrawal,2025-03-02T05:19:17
312,1123,6413.41,Transfer,2023-10-02T03:52:22
313,1135,1742.99,Deposit,2025-03-10T19:33:18
314,1211,7517.4,Deposit,2024-10-25T10:26:14
315,1306,-13542.09,Withdrawal,2024-02-07T09:58:14
316,1176,-6977.9,Withdrawal,2023-11-25T16:22:10
317,1204,-179.14,Withdrawal,2023-03-29T15:54:16
318,1247,-46.13,Withdrawal,2025-04-23T22:26:44
319,1491,6816.93,Deposit,2023-11-23T02:55:55
320,1009,-4610.25,Withdrawal,2023-07-14T13:35:57
321,1234,3284.03,Deposit,2024-01-14T05:11:54
322,1326,9398.02,Deposit,2024-08-20T17:27:39
323,1411,-760.71,Withdrawal,2025-04-17T19:10:53
324,1453,-19230.44,Withdrawal,2024-07-25T14:36:13
325,1264,3795.14,Deposit,2025-04-02T21:44:09
326,1085,3639.83,Deposit,2024-09-07T05:38:02
327,1247,5819.25,Deposit,2025-03-02T00:01:50
328,1435,-3465.98,Withdrawal,2024-10-27T11:11:05
329,1111,4749.16,Transfer,2022-01-31T21:00:11
330,1183,-11701.42,Withdrawal,2023-05-15T19:22:25
331,1294,-3264.08,Withdrawal,2023-09-29T21:49:37
332,1280,-1590.99,Withdrawal,2024-08-24T00:08:53
333,1090,9450.02,Transfer,2024-10-06T17:02:28
334,1493,-14947.95,Withdrawal,2025-01-29T09:51:06
335,1075,-1692.99,Withdrawal,2024-07-25T13:04:29
336,1216,5761.19,Transfer,2024-03-25T01:28:59
337,1231,-23769.17,Withdrawal,2024-06-05T02:46:37
338,1465,7683.19,Deposit,2024-06-22T11:49:38
339,1448,2403.11,Deposit,2024-11-26T13:55:55
340,1397,-963.55,Withdrawal,2024-07-25T18:32:23
341,1036,-1736.48,Withdrawal,2024-06-07T12:55:56
342,1088,3158.53,Deposit,2024-07-06T09:10:52
343,1244,1099.6,Deposit,2024-06-05T05:45:36
344,1391,-2926.46,Withdrawal,2023-08-08T20:12:12
345,1430,5743.1,Transfer,2025-01-15T11:21:27
346,1285,5235.36,Deposit,2024-12-11T10:40:29
347,1412,9483.52,Transfer,2024-02-22T23:00:49
348,1062,-4004.91,Withdrawal,2022-07-01T18:06:18
349,1072,3718.28,Transfer,2025-02-02T15:14:03
350,1258,4007.46,Deposit,2023-10-25T03:26:13
351,1337,1544.38,Deposit,2025-05-07T20:19:53
352,1090,2282.33,Deposit,2024-09-27T10:17:30
353,1340,-1109.3,Withdrawal,2025-04-14T01:06:33
354,1240,1778.02,Deposit,2023-01-31T08:36:20
355,1385,3492.0,Deposit,2022-07-15T09:21:26
356,1074,-15591.69,Withdrawal,2025-03-18T16:03:35
357,1449,7234.83,Transfer,2023-04-15T15:29:58
358,1143,5062.03,Deposit,2023-06-04T09:42:27
359,1375,-47.87,Withdrawal,2022-08-10T12:23:57
360,1424,6561.17,Deposit,2022-04-04T07:11:23
361,1400,-9898.74,Withdrawal,2025-03-22T11:17:17
362,1122,-9694.22,Withdrawal,2024-02-08T10:55:00
363,1316,8224.11,Transfer,2024-12-09T04:11:17
364,1173,-74.2,Withdrawal,2023-06-15T15:04:36
365,1331,6918.95,Deposit,2023-11-12T17:03:30
366,1131,-8834.45,Withdrawal,2023-11-27T04:35:45
367,1041,-2940.98,Withdrawal,2024-10-19T19:52:32
368,1417,-2068.97,Withdrawal,2023-07-31T04:27:36
369,1451,9133.84,Deposit,2024-11-14T20:01:44
370,1153,5182.99,Deposit,2025-03-21T22:13:46
371,1204,1832.67,Deposit,2025-03-07T17:05:30
372,1198,5530.4,Transfer,2023-01-14T05:26:01
373,1270,6477.35,Transfer,2025-01-10T04:37:16
374,1484,-1769.44,Withdrawal,2020-10-24T09:37:19
375,1276,4772.55,Deposit,2023-04-18T00:36:19
376,1095,-7095.08,Withdrawal,2025-04-10T09:26:57
377,1027,-24693.42,Withdrawal,2023-12-07T09:12:11
378,1204,6483.57,Deposit,2022-10-01T10:34:57
379,1237,9423.87,Deposit,2025-04-13T23:33:11
380,1393,8944.59,Deposit,2023-09-23T22:30:54
381,1188,5410.44,Deposit,2022-09-09T17:43:16
382,1363,3436.96,Deposit,2025-05-01T22:41:43
383,1090,5198.52,Deposit,2024-02-03T17:58:46
384,1139,-24693.71,Withdrawal,2024-01-16T04:29:26
385,1162,4147.51,Transfer,2023-09-28T09:58:03
386,1447,-9803.68,Withdrawal,2024-09-18T02:41:43
387,1240,8744.7,Deposit,2024-06-09T02:24:56
388,1378,-4449.66,Withdrawal,2025-03-24T05:55:20
389,1456,9670.91,Transfer,2023-04-05T05:58:18
390,1145,-1330.57,Withdrawal,2025-03-29T18:05:54
391,1111,3472.08,Deposit,2023-12-17T08:13:05
392,1053,3359.13,Deposit,2023-10-30T08:48:06
393,1112,3963.96,Deposit,2025-05-01T15:20:55
394,1247,5970.64,Transfer,2024-08-27T11:58:59
395,1311,4984.78,Deposit,2023-10-06T08:38:46
396,1077,-2935.22,Withdrawal,2021-10-10T04:02:32
397,1443,7010.68,Deposit,2024-08-11T07:36:18
398,1083,-2102.9,Withdrawal,2021-02-02T00:52:53
399,1429,5289.96,Deposit,2022-10-13T16:16:04
400,1022,-2430.7,Withdrawal,2022-02-05T05:16:09
401,1122,5071.93,Deposit,2024-10-28T20:21:24
402,1012,1177.76,Transfer,2025-03-21T04:11:42
403,1168,9987.96,Deposit,2024-05-25T21:48:56
404,1218,2092.68,Deposit,2025-03-04T06:39:32
405,1163,1397.04,Transfer,2024-12-30T17:15:13
406,1192,-10885.21,Withdrawal,2025-02-12T18:05:35
407,1492,9812.61,Transfer,2024-09-07T20:38:03
408,1059,-13.47,Withdrawal,2023-01-29T08:42:40
409,1095,5696.33,Transfer,2025-05-04T05:29:01
410,1496,2389.37,Transfer,2023-11-22T22:35:33
411,1198,-1148.42,Withdrawal,2023-01-25T00:39:02
412,1415,830.02,Deposit,2020-11-28T05:02:21
413,1075,6795.88,Deposit,2024-12-25T07:11:33
414,1356,-3694.62,Withdrawal,2025-03-06T08:37:56
415,1137,-32754.06,Withdrawal,2023-12-19T07:07:09
416,1403,-2834.55,Withdrawal,2025-04-21T01:09:17
417,1093,4328.74,Deposit,2025-01-19T20:25:27
418,1358,-4067.99,Withdrawal,2024-03-19T22:08:46
419,1454,3654.71,Deposit,2024-10-22T13:26:05
420,1338,-3945.2,Withdrawal,2023-12-03T02:53:58
421,1471,-274.23,Withdrawal,2024-08-15T21:28:23
422,1199,-2378.09,Withdrawal,2025-05-03T06:45:50
423,1347,7027.27,Deposit,2025-03-07T23:18:21
424,1227,-1175.91,Withdrawal,2023-01-25T18:45:45
425,1375,5056.21,Transfer,2023-10-06T09:14:07
426,1033,8889.71,Deposit,2022-10-11T20:28:22
427,1471,9432.91,Deposit,2022-11-08T23:54:44
428,1090,9306.49,Transfer,2024-11-25T13:02:55
429,1050,-7534.2,Withdrawal,2025-04-02T07:28:26
430,1427,-1416.27,Withdrawal,2024-11-14T11:10:41
431,1254,5054.26,Deposit,2024-02-01T16:05:41
432,1003,9442.17,Deposit,2022-04-03T04:49:44
433,1407,3627.95,Transfer,2025-04-16T23:54:24
434,1390,2035.38,Deposit,2024-07-03T11:25:36
435,1142,2559.71,Deposit,2024-11-24T06:29:43
436,1079,7230.18,Deposit,2024-06-08T08:07:51
437,1427,3960.8,Deposit,2024-12-24T10:33:07
438,1383,-1024.44,Withdrawal,2024-12-03T20:19:51
439,1078,7549.99,Deposit,2024-12-21T22:21:38
440,1115,4505.92,Deposit,2024-07-26T18:17:21
441,1081,-440.13,Withdrawal,2023-12-08T10:52:20
442,1278,-3996.1,Withdrawal,2025-03-28T07:00:56
443,1027,-29344.61,Withdrawal,2024-08-23T06:16:29
444,1172,-4512.57,Withdrawal,2025-04-20T18:53:45
445,1057,6770.93,Deposit,2021-11-26T17:59:41
446,1222,4928.71,Transfer,2023-09-22T21:08:52
447,1099,8249.19,Deposit,2021-10-18T06:41:08
448,1459,-39.43,Withdrawal,2024-02-01T07:12:53
449,1424,-25940.3,Withdrawal,2025-04-08T23:14:02
450,1201,6454.59,Transfer,2025-05-09T02:02:53
451,1280,3289.84,Deposit,2023-10-28T13:01:32
452,1066,-3687.48,Withdrawal,2024-06-01T05:02:36
453,1413,-7541.57,Withdrawal,2023-07-13T02:11:19
454,1392,-1335.75,Withdrawal,2022-05-20T18:51:54
455,1108,2111.0,Deposit,2024-06-09T11:21:04
456,1497,-7743.63,Withdrawal,2023-07-23T14:17:23
457,1221,-961.59,Withdrawal,2023-02-16T21:44:23
458,1086,-4859.12,Withdrawal,2025-05-09T16:54:39
459,1117,5460.96,Transfer,2023-08-03T10:11:01
460,1021,-7490.21,Withdrawal,2021-12-20T13:48:45
461,1098,4453.15,Deposit,2024-05-09T17:47:58
462,1199,367.23,Transfer,2025-05-04T08:29:06
463,1471,-2561.34,Withdrawal,2022-10-09T05:45:50
464,1192,7661.85,Deposit,2024-11-16T15:02:27
465,1279,5425.97,Deposit,2022-12-16T14:01:59
466,1327,-8989.47,Withdrawal,2024-12-16T04:30:51
467,1310,-9539.63,Withdrawal,2024-05-25T18:49:27
468,1003,-1374.88,Withdrawal,2022-07-24T06:34:22
469,1199,4359.5,Deposit,2025-05-02T22:57:41
470,1271,-719.08,Withdrawal,2025-03-05T12:11:10
471,1053,4287.6,Transfer,2022-06-13T01:49:38
472,1051,-454.33,Withdrawal,2023-02-26T03:03:21
473,1157,5350.87,Transfer,2024-03-24T23:08:57
474,1378,-2412.13,Withdrawal,2024-07-06T15:10:52
475,1352,7695.52,Deposit,2022-12-07T04:34:23
476,1195,9967.68,Deposit,2023-08-01T17:25:04
477,1490,3781.51,Deposit,2024-12-11T02:12:19
478,1332,-7279.97,Withdrawal,2024-12-06T15:17:52
479,1018,2963.38,Transfer,2024-05-24T23:07:48
